text,category
"운이 좋아 예상시간보다 일찍 도착한다
가는 길에 어떠한 사건사고 없이 깔끔하게 지각한다",1
빨리 가기 위해 스스로 노력했는가?,1
"스스로 대안시간을 제안했는가?
대안으로 제시한 시간에는 도착했는가?",1
김전략씨가 평소보다 늦잠을 자서 빨리 가야 하는 상황이다. 빨리 목적지까지 도 착해야 하는 것이 문제상황이기 때문에 '잘 간다'는 것은 우선 약속 시간 내에 도 착하는 것이다,1
"목표는 사무실에 빨리 가는 것
잘 간다'는 것은 빨리 가는 것",1
"잘'의 첫 번째 기준은 '속도'
",1
지각하지 않기,1
"평소 사무실 도착시간에 사무실에 도착하기
여유롭게 사무실에 도착하기",1
최대한' 늦지않게 회사에 도착해야 함,1
"가는 길에 예상치 못한 사고가 없어야 함(열차 연착, 놓침, 사고)",1
약속된 시간에 해당 장소에 도착했는가,1
사무실에 가는 데 드는 교통비를 절약할 수 있습니다.,2
그의 사무실에 가는 비용,2
"(대중교통, 택시 등을 통해) 그의 사무실까지 가는데 얼마나 많은 돈이 사용되었습니까?",2
너무 많은 돈을 쓰지 않고,2
그의 사무실에 도착하는 세 번째 기준은 그의 사무실에 성공적으로 도착하는 가장 비용 효율적인 방법을 찾는 것입니다. 대중교통은 택시를 이용하는 것보다 가장 저렴할 것입니다.,2
사무실에 가는 가장 효율적인 방법,2
가장 효율적인 방법을 통해 제시간에 도착한다,2
평소 출근과 비슷한 교통비가 든다,2
평소 회사에 가는 데 드는 비용보다 더 들지 않아야 함,2
싸게(원),2
도보거리가 짧은,2
"이동수단을 운전/운행하지 않는
",2
감당가능한 예산 안에서,2
위생 상태,3
지출 금액,3
환경 피해 감소,3
에너지 사용,3
"모든 소지품 준비(예: 문서, USB 모두 직장에 가져옴)",3
그의 도착에 대한 사무실 동료의 반응,3
그가 모든 개인 소지품을 가지고 거기에 도착했다면,3
그가 모든 업무 관련 자료를 가지고 거기에 도착했다면,3
그는 더 빨리 얻기 위해 그의 Beakfast를 포기할 수 있습니다.,3
그는 샤워를 피할 수 있었다.,3
제시간에 커피나 아침을 먹고 사무실에 도착,3
3) 그는 그의 모든 중요한 문서를 그(또는 그의 컴퓨터에)와 함께 가지고 있습니다. 중요한 일이 없으면 일하러 가도 소용이 없습니다.,3
4) 매니저/팀장은 지각하거나 늦게 일어나는 것을 눈치채거나 의심해서는 안 된다.,3
양치질,3
머리를 감다,3
정식으로 차려입기,3
즉시 작업을 시작할 수 있도록 정신적으로 준비하기,3
그의 사무실로 이동하는 편안함. 직장에서의 생산성에 영향을 미칠까요?,3
동료와 상사의 승인,3
모든 작업을 마치고 사무실에 도착,3
필요한 모든 자료를 가지고 사무실에 도착,3
사무실에 늦게 도착하지만 아무도 모른다,3
그가 사무실에 도착하는 방식(의상),3
무사히 도착했는지 (다치지 않은지),3
안전하게 일하러 가다,3
그의 일을 하는 데 필요한 것을 가지고,3
세탁은 포기,3
아침 식사를 포기,3
업무에 필요한 것만 준비,3
필요한 모든 것을 가져와,3
정상처럼 보입니다(면도하고 깔끔하게 옷을 입었습니다...),3
"좋은 신체 조건(안전하게, 지치지 않고…)",3
그의 사무실에 가는 두 번째 기준은 그의 사무실에 가는 가장 편리한 방법을 찾는 것입니다. 어떤 경로는 그에게 환승 경로를 요구할 수 있고 어떤 경로는 사무실로 직접 가는 경로가 있습니다.,3
David가 올바른 복장을 하고 있는지 여부,3
비용은 얼마였습니까?,3
피곤하지 않고 사무실에 도착,3
아침 식사 시간이 남아 사무실에 도착,3
올바른 사무실이나 건물에 성공적으로 도달,3
사고/위험 없이 도달 및 여행,3
"중요한 물건(노트북이나 프레젠테이션 데이터, 어젯밤에 한 중요한 과제 등)을 빠뜨리지 않음",3
그가 하루 일과를 마칠 수 있는 조건,3
남의 일을 방해하지 않는다,3
사고없이 도착한다,3
늦잠을 잔 것 치고 늦지않게 도착한다,3
서둘러서 생기는 사고 없이 제자리로 출근한다,3
움직임을 효율적으로 하기 위해 노력했는가?,3
반드시 필요한 액션들을 취했는가?,3
반드시 필요한 액션만 취했는가?,3
꼭 필요한 소통을 했는가?,3
늦은 상황을 회사전체에 공유했는가?,3
동료/회사의 일정이 차질없이 진행되었는가? ,3
김전략을 기다리는 사람이 없었는가?,3
회사미팅이 취소되지는 않았는가?,3
늦을 상황에서도 계약이 잘 성사되었는가?,3
회사 구성원들과 솔직하고 명확하게 소통했는가?,3
"도착하고, 팀원/상사/부서에게 미안하다고 말했는가?",3
자신의 역할을 다른 사람에게 위임했는가?,3
"도착하고, 팀원/상사/부서에게 고맙다고 말했는가?",3
"2차 피해가 발행하지 않았는가?
다른 사람에게 방해를 주지 않았는가?",3
회사에 필요한 준비물을 빠짐없이 챙겼는가?,3
결재 맡아야하는 서류를 승인 받았는가?,3
"도착했을 때, 회사/팀원/상사와 마무리 소통을 했는가?",3
잘'의 두 번째 기준은 '건강',3
출근에 필요한 것들을 모두 챙긴다,3
출근에 필요한 준비를 모두 완료한다,3
몸이 과하게 힘들지 않다,3
마음이 너무 조급하지 않다,3
평소처럼 근무를 시작할 수 있다,3
회사 동료에게 피해를 주지 않는다,3
업무에 지장이 없게 하기,3
"최대한' 모든 준비를 마치고 회사에 도착해야 함(겉모습(화장, 옷, 머리 등), 준비 물(채비) 등)",3
늦더라도 상사에게 들키지 않아야 함,3
적절한 차림새인가,3
회사 또는 동료가 지각을 눈치챘는가,3
일할 수 있는 상태인가,3
안전하게 간다,3
정확하게 간다,3
마음이 편안,3
"몸이 편안
",3
"안전한 도착
시간 안에 도착",3
준비물 빼먹지 않기,3
"지갑, 핸드폰 등 소지품 챙기기",3
"예민해져 짜증내지 않기
",3
"팀에 신속한 상황 공유
",3
관련된 사람에게 적절한 사과,3
공동 과업에 영향 최소화,3
지각자로서 부정적인 정서 컨트롤,3
"부정적인 이미지 형성 최소화
",3
"시간에 상관 없이 머리 손질, 화장 등 외관을 갖추었는가",3
아침 식사를 챙겨 먹고 제 시간 안에 도착했는가,3
시간에 상관 없이 아침 식사를 챙겨 먹었는가,3
"사무실에 필요한 물품(예 : 문 잠그기, 불 끄기, 반려동물 밥 챙겨주기 등)을 점검 하고 제 시간 안에 도착했는가",3
사고 없이 안전하게 사무실에 도착했는가,3
"늦게 일어나서 생긴 부정적인 마음(예 : 조바심, 짜증, 자책 등)을 잘 내려 놓고 차 분히 업무에 임할 수 있는 마인드가 되었는가",3
"상사가 정각에 맞춰서 도착하는 걸 싫어하는 상사라면, 상사가 김전략이 정각에 도착하거나 늦게 온 사실을 모를 수 있는가",3
"출근하자마자 일정이 있어서 평소보다 더 일찍 출근하여 일정 준비를 해야 했던 상황이라면, 그 일정 준비를 차질 없이 준비할 수 있는가
지각하지 않는 것",3
체력소모 없이 도착,3
저비용 고효율,3
"아침 루틴 지키기
평온한 기분상태",3
업무에 지장을 주지 않는 것,3
개인 기록(감정적 - ex. 이전에 비해 가장 빨리 도착한 경우),4
그가 늦었다면 무엇이 문제였을까,4
그 과정에서 그는 무엇을 잃었는가,4
그냥 걷는 것보다 더 빠르게 움직이거나 만들 수 있습니다.,4
사무실 근처에 도착합니까?,4
이 방법을 사용하는 목적,4
여행의 가능한 방법인지,4
그는 친구가 만든 스페이셜 렛을 사용할 수 있습니다.,4
그는 사람들과의 교류를 피할 수 있었습니다.,4
그는 가장 효율적인 방법으로 사무실에 도착하는 방법을 찾습니다.,4
그의 사무실에 도착.,4
5. 시간 체크 카드를 두드리는 것(근무 시간을 확인하기 위해),4
6. 리프트 진입,4
"사무실에 가는 방법(""데이비드가 사무실에 가는 데 성공하면…)",4
그가 제 시간에 일할 성공을 정의하는 기준 목록,4
2) 그는 눈에 잘 띄어야 한다,4
상사에게 지각 가능성을 알리기,4
상사에게 지각 이유를 말하기(진실 또는 거짓),4
예상 도착 시간을 상사에게 알리기,4
힘을 다해 사무실에 도착하다,4
상사/관리자에게 온라인으로 전환/다른 날로 전환/…,4
퇴근 시간에 도착,4
점심을 살 음식이나 돈이 있다,4
그가하지 않았다면잊다 집에서 뭔가,4
그가 적당한 시간에 거기에 도착했다면건강 상태,4
현재 위치에서 사무실까지의 거리,4
사무실에 가는 그의 평소 방법은 무엇이었습니까?,4
그는 사무실에 가기 위해 서두르고 있습니까,4
사무실로 가는 길에 영향을 줄 수 있는 그날의 날씨,4
사무실에 도착하는 방법의 성공의 정의는 무엇입니까,4
스트레스 없이 일할 수 있다,4
늦잠을 잤더라도 항상 가는 방법으로 출근한다,4
지각예상이라도 휴가 사용 않고 출근한다.,4
늦잠을 잤으니 다른 방법을 통해 출근한다,4
"지각을 했어도 당당하게 출근한다
",4
늦은 상황을 인지하고 죄책감을 느끼는가?,4
잘'의 세 번째 기준은 '피해',4
